review_id,address,chain,token_symbol,token_address,review_time,review_window,old_evidence_level,new_evidence_level,old_address_level,new_address_level,old_role,new_role,realized_result,pnl_after_review,max_roi_after_entry,exit_behavior,review_conclusion,reason,updated_at
ewon_GExMN6,GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4,需复查,E4,需复查,结果钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_Dfi33b,Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+6h,T+24h,T+72h",R2,需复查,R2,需复查,接盘鲸鱼/派发风险地址,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_4oqLr7,4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_DZwgxG,DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_undwZZ,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_FAMEca,FAMEcanszfKG6WrXstFZjhpcsRkBA6Y59K2m3Qsjv5sa,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_A7Nka4,A7Nka4vVv4dqv7qCEVBE4eRVNPrnrtf6bcgWifzLPmpx,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_J2ECnk,J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_2JLTKc,2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_EXUzBT,EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E1,需复查,E1,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_97K6ns,97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4/R2,需复查,E4/R2,需复查,分发派发钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_D6kXNA,D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4/R2,需复查,E4/R2,需复查,分发派发钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_7cNfaR,7cNfaRiuyhaC56nUxpupS4YUK3h5RdwzrmukYTmPph1j,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E2,需复查,E2,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_suqh5s,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+6h,T+24h,T+72h",E3,需复查,E3,需复查,结果钱包/KOL钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_Bf4zji,Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E2,需复查,E2,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
